configuration,metric_name,mean
blockchain_disabled,accuracy_bayesian,77.53
blockchain_disabled,accuracy_proposed,87.53
blockchain_disabled,accuracy_static,86.0
blockchain_disabled,blockchain_commit_latency_ms,0.0
blockchain_disabled,blockchain_commit_success_rate,0.0
blockchain_disabled,blockchain_failed_commits,0.0
blockchain_disabled,communication_distance_bayesian,526.737604
blockchain_disabled,communication_distance_proposed,526.367156
blockchain_disabled,communication_distance_static,525.551719
blockchain_disabled,compute_cost_bayesian,1.1
blockchain_disabled,compute_cost_proposed,1.12
blockchain_disabled,compute_cost_static,0.95
blockchain_disabled,energy_bayesian,71.71135
blockchain_disabled,energy_proposed,71.37465
blockchain_disabled,energy_static,73.0973
blockchain_disabled,f1_bayesian,46.17685
blockchain_disabled,f1_proposed,19.39895
blockchain_disabled,f1_static,0.0
blockchain_disabled,fn_bayesian,2.685
blockchain_disabled,fn_proposed,6.115
blockchain_disabled,fn_static,7.0
blockchain_disabled,fp_bayesian,8.55
blockchain_disabled,fp_proposed,0.12
blockchain_disabled,fp_static,0.0
blockchain_disabled,packet_count_bayesian,1.248367
blockchain_disabled,packet_count_proposed,1.26033
blockchain_disabled,packet_count_static,1.235069
blockchain_disabled,pdr_bayesian,84.83975
blockchain_disabled,pdr_proposed,91.3334
blockchain_disabled,pdr_static,91.8758
blockchain_disabled,precision_bayesian,43.269
blockchain_disabled,precision_proposed,51.91555
blockchain_disabled,precision_static,0.0
blockchain_disabled,recall_bayesian,61.6424
blockchain_disabled,recall_proposed,12.6441
blockchain_disabled,recall_static,0.0
blockchain_disabled,routing_distance_bayesian,519.854797
blockchain_disabled,routing_distance_proposed,269.488546
blockchain_disabled,routing_distance_static,0.0
blockchain_disabled,routing_load_bayesian,0.4946
blockchain_disabled,routing_load_proposed,0.5462
blockchain_disabled,routing_load_static,0.55
blockchain_disabled,routing_noise_bayesian,8.3e-05
blockchain_disabled,routing_noise_proposed,0.00289
blockchain_disabled,routing_noise_static,0.0
blockchain_disabled,tn_bayesian,34.45
blockchain_disabled,tn_proposed,42.88
blockchain_disabled,tn_static,43.0
blockchain_disabled,tp_bayesian,4.315
blockchain_disabled,tp_proposed,0.885
blockchain_disabled,tp_static,0.0
blockchain_disabled,trust_max_proposed,0.890923
blockchain_disabled,trust_mean_proposed,0.864326
blockchain_disabled,trust_min_proposed,0.70625
blockchain_disabled,trust_std_proposed,0.037634
energy_disabled,accuracy_bayesian,77.8
energy_disabled,accuracy_proposed,87.08
energy_disabled,accuracy_static,86.0
energy_disabled,blockchain_commit_latency_ms,1501.25619
energy_disabled,blockchain_commit_success_rate,1.0
energy_disabled,blockchain_failed_commits,0.0
energy_disabled,communication_distance_bayesian,527.231381
energy_disabled,communication_distance_proposed,525.76379
energy_disabled,communication_distance_static,526.104955
energy_disabled,compute_cost_bayesian,1.1
energy_disabled,compute_cost_proposed,1.12
energy_disabled,compute_cost_static,0.95
energy_disabled,energy_bayesian,87.4
energy_disabled,energy_proposed,87.4
energy_disabled,energy_static,87.4
energy_disabled,f1_bayesian,45.5854
energy_disabled,f1_proposed,14.59965
energy_disabled,f1_static,0.0
energy_disabled,fn_bayesian,2.89
energy_disabled,fn_proposed,6.34
energy_disabled,fn_static,7.0
energy_disabled,fp_bayesian,8.21
energy_disabled,fp_proposed,0.12
energy_disabled,fp_static,0.0
energy_disabled,packet_count_bayesian,1.247558
energy_disabled,packet_count_proposed,1.261286
energy_disabled,packet_count_static,1.235434
energy_disabled,pdr_bayesian,85.04535
energy_disabled,pdr_proposed,91.3242
energy_disabled,pdr_static,91.8758
energy_disabled,precision_bayesian,43.185
energy_disabled,precision_proposed,40.2024
energy_disabled,precision_static,0.0
energy_disabled,recall_bayesian,58.7142
energy_disabled,recall_proposed,9.42965
energy_disabled,recall_static,0.0
energy_disabled,routing_distance_bayesian,522.450828
energy_disabled,routing_distance_proposed,251.828073
energy_disabled,routing_distance_static,0.0
energy_disabled,routing_load_bayesian,0.494925
energy_disabled,routing_load_proposed,0.546375
energy_disabled,routing_load_static,0.55
energy_disabled,routing_noise_bayesian,-0.00123
energy_disabled,routing_noise_proposed,-0.006198
energy_disabled,routing_noise_static,0.0
energy_disabled,tn_bayesian,34.79
energy_disabled,tn_proposed,42.88
energy_disabled,tn_static,43.0
energy_disabled,tp_bayesian,4.11
energy_disabled,tp_proposed,0.66
energy_disabled,tp_static,0.0
energy_disabled,trust_max_proposed,0.890968
energy_disabled,trust_mean_proposed,0.864694
energy_disabled,trust_min_proposed,0.708888
energy_disabled,trust_std_proposed,0.037519
full_model,accuracy_bayesian,78.17
full_model,accuracy_proposed,87.38
full_model,accuracy_static,86.0
full_model,blockchain_commit_latency_ms,1501.25619
full_model,blockchain_commit_success_rate,1.0
full_model,blockchain_failed_commits,0.0
full_model,communication_distance_bayesian,526.871607
full_model,communication_distance_proposed,526.667186
full_model,communication_distance_static,525.708489
full_model,compute_cost_bayesian,1.1
full_model,compute_cost_proposed,1.12
full_model,compute_cost_static,0.95
full_model,energy_bayesian,71.7222
full_model,energy_proposed,71.3882
full_model,energy_static,73.0632
full_model,f1_bayesian,46.38135
full_model,f1_proposed,17.9505
full_model,f1_static,0.0
full_model,fn_bayesian,2.845
full_model,fn_proposed,6.165
full_model,fn_static,7.0
full_model,fp_bayesian,8.07
full_model,fp_proposed,0.145
full_model,fp_static,0.0
full_model,packet_count_bayesian,1.248653
full_model,packet_count_proposed,1.261005
full_model,packet_count_static,1.235702
full_model,pdr_bayesian,85.40975
full_model,pdr_proposed,91.38315
full_model,pdr_static,91.8758
full_model,precision_bayesian,44.42905
full_model,precision_proposed,45.90005
full_model,precision_static,0.0
full_model,recall_bayesian,59.3566
full_model,recall_proposed,11.9295
full_model,recall_static,0.0
full_model,routing_distance_bayesian,516.537448
full_model,routing_distance_proposed,282.699403
full_model,routing_distance_static,0.0
full_model,routing_load_bayesian,0.495925
full_model,routing_load_proposed,0.546075
full_model,routing_load_static,0.55
full_model,routing_noise_bayesian,-0.002774
full_model,routing_noise_proposed,-0.004518
full_model,routing_noise_static,0.0
full_model,tn_bayesian,34.93
full_model,tn_proposed,42.855
full_model,tn_static,43.0
full_model,tp_bayesian,4.155
full_model,tp_proposed,0.835
full_model,tp_static,0.0
full_model,trust_max_proposed,0.891879
full_model,trust_mean_proposed,0.864595
full_model,trust_min_proposed,0.707405
full_model,trust_std_proposed,0.037744
routing_disabled,accuracy_bayesian,78.17
routing_disabled,accuracy_proposed,87.38
routing_disabled,accuracy_static,86.0
routing_disabled,blockchain_commit_latency_ms,1501.25619
routing_disabled,blockchain_commit_success_rate,1.0
routing_disabled,blockchain_failed_commits,0.0
routing_disabled,communication_distance_bayesian,526.871607
routing_disabled,communication_distance_proposed,526.667186
routing_disabled,communication_distance_static,525.708489
routing_disabled,compute_cost_bayesian,1.1
routing_disabled,compute_cost_proposed,1.12
routing_disabled,compute_cost_static,0.95
routing_disabled,energy_bayesian,71.7222
routing_disabled,energy_proposed,71.3882
routing_disabled,energy_static,73.0632
routing_disabled,f1_bayesian,46.38135
routing_disabled,f1_proposed,17.9505
routing_disabled,f1_static,0.0
routing_disabled,fn_bayesian,2.845
routing_disabled,fn_proposed,6.165
routing_disabled,fn_static,7.0
routing_disabled,fp_bayesian,8.07
routing_disabled,fp_proposed,0.145
routing_disabled,fp_static,0.0
routing_disabled,packet_count_bayesian,1.248653
routing_disabled,packet_count_proposed,1.261005
routing_disabled,packet_count_static,1.235702
routing_disabled,pdr_bayesian,91.3197
routing_disabled,pdr_proposed,91.84005
routing_disabled,pdr_static,91.8758
routing_disabled,precision_bayesian,44.42905
routing_disabled,precision_proposed,45.90005
routing_disabled,precision_static,0.0
routing_disabled,recall_bayesian,59.3566
routing_disabled,recall_proposed,11.9295
