model,metric_name,mean
logistic_regression,C,0.987012987012987
logistic_regression,RP,1.0
logistic_regression,P,0.9230769230769232
logistic_regression,A,0.96
logistic_regression,TI,0.8282615339088583
random_forest,C,0.935064935064935
random_forest,RP,0.5833333333333334
random_forest,P,1.0
random_forest,A,0.7368421052631579
random_forest,TI,0.8794372294372295
lstm_baseline,C,0.948051948051948
lstm_baseline,RP,0.6666666666666666
lstm_baseline,P,1.0
lstm_baseline,A,0.8
lstm_baseline,TI,0.8596461810774177
