metric_name,mean,std,ci95_lower,ci95_upper
accuracy,82.915,0.895765,82.514875,83.32
communication_distance,526.897966,22.47946,517.389372,536.716289
compute_cost,1.12,0.0,1.12,1.12
energy,71.380725,0.098631,71.338399,71.421604
f1,6.24975,2.089511,5.316182,7.059934
fn,6.6,0.150438,6.54,6.6675
fp,1.9425,0.536626,1.7025,2.177563
packet_count,1.260489,0.007548,1.257295,1.263741
pdr,90.6871,0.972136,90.317014,91.123559
precision,9.91095,4.007883,8.158415,11.58215
recall,5.714875,2.149251,4.750574,6.572176
routing_distance,331.229903,48.379869,310.198708,352.81228
routing_load,0.540787,0.001708,0.540063,0.541488
routing_noise,9.4e-05,0.012937,-0.005213,0.005784
tn,41.0575,0.536626,40.822437,41.2975
tp,0.4,0.150438,0.3325,0.46
trust_max,0.806783,0.000876,0.806428,0.807153
trust_mean,0.799477,0.000346,0.799338,0.799623
trust_min,0.775781,0.004827,0.77369,0.777886
trust_std,0.005839,0.000762,0.005501,0.006137
