model,metric_name,value,value_scaled_0_1,scaling
bayesian,accuracy,72.02666666666667,0.0,minmax_per_metric_over_models
proposed,accuracy,90.74333333333334,1.0,minmax_per_metric_over_models
static,accuracy,86.0,0.7465716829919855,minmax_per_metric_over_models
bayesian,communication_distance,528.9852578116667,0.6722762334049971,minmax_per_metric_over_models
proposed,communication_distance,529.0929069933333,1.0,minmax_per_metric_over_models
static,communication_distance,528.764431635,0.0,minmax_per_metric_over_models
bayesian,compute_cost,1.1,0.8823529411764706,minmax_per_metric_over_models
proposed,compute_cost,1.12,1.0,minmax_per_metric_over_models
static,compute_cost,0.95,0.0,minmax_per_metric_over_models
bayesian,energy,71.71131666666666,0.19434160520862634,minmax_per_metric_over_models
proposed,energy,71.38148333333334,0.0,minmax_per_metric_over_models
static,energy,73.07866666666666,1.0,minmax_per_metric_over_models
bayesian,f1,32.45043333333333,0.7049987254430533,minmax_per_metric_over_models
proposed,f1,46.029066666666665,1.0,minmax_per_metric_over_models
static,f1,0.0,0.0,minmax_per_metric_over_models
bayesian,fn,3.7383333333333333,0.0,minmax_per_metric_over_models
proposed,fn,4.623333333333333,0.27133367399080216,minmax_per_metric_over_models
static,fn,7.0,1.0,minmax_per_metric_over_models
bayesian,fp,10.248333333333333,1.0,minmax_per_metric_over_models
proposed,fp,0.005,0.0004878842088144414,minmax_per_metric_over_models
static,fp,0.0,0.0,minmax_per_metric_over_models
bayesian,packet_count,1.2473461583333334,0.5258903945919299,minmax_per_metric_over_models
proposed,packet_count,1.2589926599999999,1.0,minmax_per_metric_over_models
static,packet_count,1.2344276616666667,0.0,minmax_per_metric_over_models
bayesian,pdr,82.73001666666667,0.0,minmax_per_metric_over_models
proposed,pdr,90.45845,0.8722098392724467,minmax_per_metric_over_models
static,pdr,91.59076666666667,1.0,minmax_per_metric_over_models
bayesian,precision,26.747783333333334,0.32145558337506264,minmax_per_metric_over_models
proposed,precision,83.20833333333333,1.0,minmax_per_metric_over_models
static,precision,0.0,0.0,minmax_per_metric_over_models
bayesian,recall,46.5953,1.0,minmax_per_metric_over_models
proposed,recall,33.95303333333333,0.7286793589339124,minmax_per_metric_over_models
static,recall,0.0,0.0,minmax_per_metric_over_models
bayesian,routing_distance,522.7429106566667,1.0,minmax_per_metric_over_models
proposed,routing_distance,449.297524735,0.8594999866580592,minmax_per_metric_over_models
static,routing_distance,0.0,0.0,minmax_per_metric_over_models
bayesian,routing_load,0.48245000000000005,0.0,minmax_per_metric_over_models
proposed,routing_load,0.5380916666666667,0.8237108314828527,minmax_per_metric_over_models
static,routing_load,0.55,1.0,minmax_per_metric_over_models
bayesian,routing_noise,0.001229475,1.0,minmax_per_metric_over_models
proposed,routing_noise,-0.00131824,0.0,minmax_per_metric_over_models
static,routing_noise,0.0,0.517420512105946,minmax_per_metric_over_models
bayesian,tn,32.751666666666665,0.0,minmax_per_metric_over_models
proposed,tn,42.995,0.9995121157911853,minmax_per_metric_over_models
static,tn,43.0,1.0,minmax_per_metric_over_models
bayesian,tp,3.2616666666666667,1.0,minmax_per_metric_over_models
proposed,tp,2.3766666666666665,0.7286663260091977,minmax_per_metric_over_models
static,tp,0.0,0.0,minmax_per_metric_over_models
proposed,trust_index,0.9137525,0.5,minmax_per_metric_over_models
proposed,trust_max,0.9768179999999999,0.5,minmax_per_metric_over_models
proposed,trust_min,0.42385183333333337,0.5,minmax_per_metric_over_models
proposed,trust_std,0.10774183333333333,0.5,minmax_per_metric_over_models
