seed,model,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,fp,tp,tn,fn
42,transformer,0.8831168831168831,0.9999999966666667,0.24999999979166665,0.39999999626666666,0.8679487179487179,0.8124785267642411,0.4447812922782712,0.24465519189834595,0,3,65,9
42,logistic_regression,0.8831168831168831,0.6153846149112425,0.666666666111111,0.639999994496,0.7987179487179487,0.7152612166739952,0.05939758298966779,0.08005328381709215,5,8,60,4
42,random_forest,0.9090909090909091,0.7777777769135802,0.5833333328472222,0.6666666611337869,0.8698717948717949,0.7387612387612389,0.04681785445352987,0.06637103828371374,2,7,63,5
42,lstm_baseline,0.961038961038961,1.0,0.75,0.8571428571428571,0.8769230769230769,0.8143896447467877,0.415800111951988,0.2132552342316914,0,9,65,3
43,transformer,0.922077922077922,0.7142857137755102,0.8333333326388889,0.7692307636686392,0.8923076923076924,0.8332732082732083,0.07303818092717752,0.06692975014448166,4,10,61,2
43,logistic_regression,0.935064935064935,0.8888888879012344,0.666666666111111,0.7619047562811792,0.9346153846153846,0.8476410934744268,0.09814108520196559,0.06979160473358567,1,8,64,4
43,random_forest,0.9090909090909091,0.7777777769135802,0.5833333328472222,0.6666666611337869,0.9333333333333333,0.7943353592021195,0.06501016893494149,0.06084506827974617,2,7,63,5
43,lstm_baseline,0.7792207792207793,0.4,0.8333333333333334,0.5405405405405406,0.9051282051282051,0.822035868762624,0.27011185685694966,0.14048466936821472,15,10,50,2
44,transformer,0.922077922077922,0.749999999375,0.749999999375,0.749999994375,0.9564102564102565,0.8880563880563881,0.03630183615371005,0.04504111036658287,3,9,62,3
44,logistic_regression,0.8831168831168831,0.7142857132653061,0.41666666631944443,0.5263157842659281,0.8474358974358974,0.6924576653573873,0.07297563834211304,0.09831584091763317,2,5,63,7
44,random_forest,0.922077922077922,0.7999999992,0.666666666111111,0.7272727216528925,0.9083333333333333,0.812400918299285,0.09331012905469685,0.07692904854531454,2,8,63,4
44,lstm_baseline,0.4805194805194805,0.22,0.9166666666666666,0.3548387096774193,0.926923076923077,0.8774813350900309,0.19586976718958754,0.09726822906508668,39,11,26,1
