seed,model,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier,fp,tp,tn,fn
42,transformer,0.935064935064935,0.8181818174380164,0.749999999375,0.7826086899810963,0.8653846153846154,0.8097002635046114,0.5055420566592124,0.3352373242378235,2,9,63,3
42,logistic_regression,0.8831168831168831,0.6153846149112425,0.666666666111111,0.639999994496,0.7987179487179487,0.7152612166739952,0.05939758298966779,0.08005328381709215,5,8,60,4
42,random_forest,0.9090909090909091,0.7777777769135802,0.5833333328472222,0.6666666611337869,0.8698717948717949,0.7387612387612389,0.04681785445352987,0.06637103828371374,2,7,63,5
42,lstm_baseline,0.961038961038961,1.0,0.75,0.8571428571428571,0.8846153846153846,0.8182752267573697,0.38581067851191514,0.20605514050764132,0,9,65,3
43,transformer,0.9090909090909091,0.6666666662222221,0.8333333326388889,0.7407407352537724,0.9205128205128205,0.8682451061483322,0.26916380255640326,0.14553095400333405,5,10,60,2
43,logistic_regression,0.935064935064935,0.8888888879012344,0.666666666111111,0.7619047562811792,0.9346153846153846,0.8476410934744268,0.09814108520196559,0.06979160473358567,1,8,64,4
43,random_forest,0.9090909090909091,0.7777777769135802,0.5833333328472222,0.6666666611337869,0.9333333333333333,0.7943353592021195,0.06501016893494149,0.06084506827974617,2,7,63,5
43,lstm_baseline,0.8181818181818182,0.45454545454545453,0.8333333333333334,0.5882352941176471,0.9012820512820513,0.8186967936689852,0.24867713177706732,0.1202905403427467,12,10,53,2
44,transformer,0.6363636363636364,0.28947368413434904,0.9166666659027777,0.439999996176,0.9166666666666666,0.8672507098346652,0.37671775395026447,0.20855027437210083,27,11,38,1
44,logistic_regression,0.8831168831168831,0.7142857132653061,0.41666666631944443,0.5263157842659281,0.8474358974358974,0.6924576653573873,0.07297563834211304,0.09831584091763317,2,5,63,7
44,random_forest,0.922077922077922,0.7999999992,0.666666666111111,0.7272727216528925,0.9083333333333333,0.812400918299285,0.09331012905469685,0.07692904854531454,2,8,63,4
44,lstm_baseline,0.5584415584415584,0.25,0.9166666666666666,0.3928571428571429,0.9243589743589743,0.8720032840722497,0.2589143502932017,0.11592834254467481,33,11,32,1
