configuration,metric_name,value
full_model,accuracy_bayesian,77.96
full_model,accuracy_proposed,83.31
full_model,accuracy_static,86.0
full_model,blockchain_commit_latency_ms,1501.25619
full_model,blockchain_commit_success_rate,1.0
full_model,blockchain_failed_commits,0.0
full_model,communication_distance_bayesian,524.261247
full_model,communication_distance_proposed,526.006528
full_model,communication_distance_static,524.894001
full_model,compute_cost_bayesian,1.1
full_model,compute_cost_proposed,1.12
full_model,compute_cost_static,0.95
full_model,energy_bayesian,71.73315
full_model,energy_proposed,71.38865
full_model,energy_static,73.0526
full_model,f1_bayesian,45.216
full_model,f1_proposed,6.00225
full_model,f1_static,0.0
full_model,fn_bayesian,2.955
full_model,fn_proposed,6.635
full_model,fn_static,7.0
full_model,fp_bayesian,8.065
full_model,fp_proposed,1.71
full_model,fp_static,0.0
full_model,packet_count_bayesian,1.247742
full_model,packet_count_proposed,1.261435
full_model,packet_count_static,1.236488
full_model,pdr_bayesian,85.26895
full_model,pdr_proposed,90.6739
full_model,pdr_static,91.8758
full_model,precision_bayesian,43.92115
full_model,precision_proposed,9.7688
full_model,precision_static,0.0
full_model,recall_bayesian,57.78535
full_model,recall_proposed,5.2148
full_model,recall_static,0.0
full_model,routing_distance_bayesian,521.433979
full_model,routing_distance_proposed,330.662057
full_model,routing_distance_static,0.0
full_model,routing_load_bayesian,0.49545
full_model,routing_load_proposed,0.54065
full_model,routing_load_static,0.55
full_model,routing_noise_bayesian,-0.005915
full_model,routing_noise_proposed,9.6e-05
full_model,routing_noise_static,0.0
full_model,tn_bayesian,34.935
full_model,tn_proposed,41.29
full_model,tn_static,43.0
full_model,tp_bayesian,4.045
full_model,tp_proposed,0.365
full_model,tp_static,0.0
full_model,trust_max_proposed,0.80665
full_model,trust_mean_proposed,0.799447
full_model,trust_min_proposed,0.774724
full_model,trust_std_proposed,0.005932
energy_disabled,accuracy_bayesian,77.26
energy_disabled,accuracy_proposed,82.83
energy_disabled,accuracy_static,86.0
energy_disabled,blockchain_commit_latency_ms,1501.25619
energy_disabled,blockchain_commit_success_rate,1.0
energy_disabled,blockchain_failed_commits,0.0
energy_disabled,communication_distance_bayesian,527.143906
energy_disabled,communication_distance_proposed,525.514758
energy_disabled,communication_distance_static,526.14226
energy_disabled,compute_cost_bayesian,1.1
energy_disabled,compute_cost_proposed,1.12
energy_disabled,compute_cost_static,0.95
energy_disabled,energy_bayesian,87.4
energy_disabled,energy_proposed,87.4
energy_disabled,energy_static,87.4
energy_disabled,f1_bayesian,43.68455
energy_disabled,f1_proposed,7.49005
energy_disabled,f1_static,0.0
energy_disabled,fn_bayesian,3.0
energy_disabled,fn_proposed,6.5
energy_disabled,fn_static,7.0
energy_disabled,fp_bayesian,8.37
energy_disabled,fp_proposed,2.085
energy_disabled,fp_static,0.0
energy_disabled,packet_count_bayesian,1.248189
