metric_name,model_a,model_b,p_value_ttest,p_value_wilcoxon,effect_size_cohens_d
accuracy,proposed,bayesian,0.00083802,0.00330362,0.88565602
accuracy,proposed,static,0.0,1.91e-06,-3.44398406
communication_distance,proposed,bayesian,0.41868807,0.18934822,0.18484786
communication_distance,proposed,static,0.5842885,0.64765549,-0.12446263
compute_cost,proposed,bayesian,0.0,1.91e-06,0.0
compute_cost,proposed,static,0.0,1.91e-06,2984904837795020.5
energy,proposed,bayesian,0.0,1.91e-06,-3.85308434
energy,proposed,static,0.0,1.91e-06,-20.35494209
f1,proposed,bayesian,0.0,1.91e-06,-4.95238636
f1,proposed,static,0.0,1.91e-06,2.99101108
fn,proposed,bayesian,0.0,1.91e-06,5.34772258
fn,proposed,static,0.0,1.91e-06,-2.65890343
fp,proposed,bayesian,0.0,1.91e-06,-2.89624003
fp,proposed,static,0.0,1.91e-06,3.61984177
packet_count,proposed,bayesian,0.0,1.91e-06,3.88177465
packet_count,proposed,static,0.0,1.91e-06,8.04477011
pdr,proposed,bayesian,0.0,1.91e-06,4.04966535
pdr,proposed,static,0.00014902,0.00039482,-1.05544228
precision,proposed,bayesian,0.0,1.91e-06,-3.92808756
precision,proposed,static,0.0,1.91e-06,2.47286433
recall,proposed,bayesian,0.0,1.91e-06,-5.34810295
recall,proposed,static,0.0,1.91e-06,2.65900754
routing_distance,proposed,bayesian,0.0,1.91e-06,-3.60021249
routing_distance,proposed,static,0.0,1.91e-06,6.84644068
routing_load,proposed,bayesian,0.0,1.91e-06,6.29041067
routing_load,proposed,static,0.0,1.91e-06,-5.39464258
routing_noise,proposed,bayesian,0.18711466,0.24548721,0.30601049
routing_noise,proposed,static,0.97445212,0.89831734,0.00725591
tn,proposed,bayesian,0.0,1.91e-06,2.89624003
tn,proposed,static,0.0,1.91e-06,-3.61984177
tp,proposed,bayesian,0.0,1.91e-06,-5.34772258
tp,proposed,static,0.0,1.91e-06,2.65890343
