metric_name,n_seeds,mean,std,ci95_lower,ci95_upper
accuracy_bayesian,20,79.125,3.960977,77.529875,80.90025
accuracy_proposed,20,82.915,0.895765,82.514875,83.32
accuracy_static,20,86.0,0.0,86.0,86.0
blockchain_commit_latency_ms,20,1501.25619,0.0,1501.25619,1501.25619
blockchain_commit_success_rate,20,1.0,0.0,1.0,1.0
blockchain_failed_commits,20,0.0,0.0,0.0,0.0
communication_distance_bayesian,20,525.789657,19.813768,517.358966,534.544451
communication_distance_proposed,20,526.897966,22.47946,517.389372,536.716289
communication_distance_static,20,527.779628,21.052776,518.944597,537.032815
compute_cost_bayesian,20,1.1,0.0,1.1,1.1
compute_cost_proposed,20,1.12,0.0,1.12,1.12
compute_cost_static,20,0.95,0.0,0.95,0.95
energy_bayesian,20,71.7323,0.095806,71.692821,71.773779
energy_proposed,20,71.380725,0.098631,71.338399,71.421604
energy_static,20,73.05545,0.109079,73.009724,73.103252
f1_bayesian,20,48.556375,8.673735,44.866457,52.468214
f1_proposed,20,6.24975,2.089511,5.316182,7.059934
f1_static,20,0.0,0.0,0.0,0.0
fn_bayesian,20,2.7075,0.780229,2.3675,3.035125
fn_proposed,20,6.6,0.150438,6.54,6.6675
fn_static,20,7.0,0.0,7.0,7.0
fp_bayesian,20,7.73,1.921923,6.889938,8.527563
fp_proposed,20,1.9425,0.536626,1.7025,2.177563
fp_static,20,0.0,0.0,0.0,0.0
packet_count_bayesian,20,1.247342,0.007699,1.244018,1.250506
packet_count_proposed,20,1.260489,0.007548,1.257295,1.263741
packet_count_static,20,1.235568,0.007989,1.232064,1.238922
pdr_bayesian,20,85.142925,1.243431,84.646322,85.688057
pdr_proposed,20,90.6871,0.972136,90.317014,91.123559
pdr_static,20,91.68775,0.694026,91.38807,91.983936
precision_bayesian,20,46.45395,7.804387,43.258131,49.915288
precision_proposed,20,9.91095,4.007883,8.158415,11.58215
precision_static,20,0.0,0.0,0.0,0.0
recall_bayesian,20,61.32105,11.145326,56.641019,66.177755
recall_proposed,20,5.714875,2.149251,4.750574,6.572176
recall_static,20,0.0,0.0,0.0,0.0
routing_distance_bayesian,20,520.334567,26.87123,509.249811,531.917307
routing_distance_proposed,20,331.229903,48.379869,310.198708,352.81228
routing_distance_static,20,0.0,0.0,0.0,0.0
routing_load_bayesian,20,0.496925,0.006914,0.493813,0.499763
routing_load_proposed,20,0.540787,0.001708,0.540063,0.541488
routing_load_static,20,0.55,0.0,0.55,0.55
routing_noise_bayesian,20,-0.004212,0.005848,-0.006735,-0.001821
routing_noise_proposed,20,9.4e-05,0.012937,-0.005213,0.005784
routing_noise_static,20,0.0,0.0,0.0,0.0
tn_bayesian,20,35.27,1.921923,34.472438,36.110062
tn_proposed,20,41.0575,0.536626,40.822437,41.2975
tn_static,20,43.0,0.0,43.0,43.0
tp_bayesian,20,4.2925,0.780229,3.964875,4.6325
tp_proposed,20,0.4,0.150438,0.3325,0.46
tp_static,20,0.0,0.0,0.0,0.0
trust_max_proposed,20,0.806783,0.000876,0.806428,0.807153
trust_mean_proposed,20,0.799477,0.000346,0.799338,0.799623
trust_min_proposed,20,0.775781,0.004827,0.77369,0.777886
trust_std_proposed,20,0.005839,0.000762,0.005501,0.006137
