dataset_name,metric_name,value
data_adv0.05_noise0.04,C,0.95
data_adv0.05_noise0.04,RP,0.0
data_adv0.05_noise0.04,P,0.0
data_adv0.05_noise0.04,A,0.0
data_adv0.05_noise0.04,TI,0.7427771687507629
data_adv0.05_noise0.04,ECE,0.207222830504179
data_adv0.05_noise0.04,Brier,0.08878115564584732
data_adv0.05_noise0.08,C,0.95
data_adv0.05_noise0.08,RP,0.0
data_adv0.05_noise0.08,P,0.0
data_adv0.05_noise0.08,A,0.0
data_adv0.05_noise0.08,TI,0.7399111390113831
data_adv0.05_noise0.08,ECE,0.2100888006389141
data_adv0.05_noise0.08,Brier,0.0897137001156807
data_adv0.05_noise0.12,C,0.95
data_adv0.05_noise0.12,RP,0.0
data_adv0.05_noise0.12,P,0.0
data_adv0.05_noise0.12,A,0.0
data_adv0.05_noise0.12,TI,0.7369991540908813
data_adv0.05_noise0.12,ECE,0.21578045903891327
data_adv0.05_noise0.12,Brier,0.09075375646352768
data_adv0.15_noise0.04,C,0.85
data_adv0.15_noise0.04,RP,0.0
data_adv0.15_noise0.04,P,0.0
data_adv0.15_noise0.04,A,0.0
data_adv0.15_noise0.04,TI,0.7412890791893005
data_adv0.15_noise0.04,ECE,0.10871094465255737
data_adv0.15_noise0.04,Brier,0.1349806785583496
data_adv0.15_noise0.08,C,0.85
data_adv0.15_noise0.08,RP,0.0
data_adv0.15_noise0.08,P,0.0
data_adv0.15_noise0.08,A,0.0
data_adv0.15_noise0.08,TI,0.7380815148353577
data_adv0.15_noise0.08,ECE,0.11191844940185547
data_adv0.15_noise0.08,Brier,0.13497643172740936
data_adv0.15_noise0.12,C,0.85
data_adv0.15_noise0.12,RP,0.0
data_adv0.15_noise0.12,P,0.0
data_adv0.15_noise0.12,A,0.0
data_adv0.15_noise0.12,TI,0.7348024845123291
data_adv0.15_noise0.12,ECE,0.12630880737304687
data_adv0.15_noise0.12,Brier,0.13527871668338776
data_adv0.3_noise0.04,C,0.7
data_adv0.3_noise0.04,RP,0.0
data_adv0.3_noise0.04,P,0.0
data_adv0.3_noise0.04,A,0.0
data_adv0.3_noise0.04,TI,0.7383696436882019
data_adv0.3_noise0.04,ECE,0.03836968541145325
data_adv0.3_noise0.04,Brier,0.2040197104215622
data_adv0.3_noise0.08,C,0.7
data_adv0.3_noise0.08,RP,0.0
data_adv0.3_noise0.08,P,0.0
data_adv0.3_noise0.08,A,0.0
data_adv0.3_noise0.08,TI,0.7350378632545471
data_adv0.3_noise0.08,ECE,0.035037864208221435
data_adv0.3_noise0.08,Brier,0.2029971182346344
data_adv0.3_noise0.12,C,0.7
data_adv0.3_noise0.12,RP,0.0
data_adv0.3_noise0.12,P,0.0
data_adv0.3_noise0.12,A,0.0
data_adv0.3_noise0.12,TI,0.7315351366996765
data_adv0.3_noise0.12,ECE,0.03153519606590271
data_adv0.3_noise0.12,Brier,0.2020997554063797
