metric_name,n_seeds,mean,std,ci95_lower,ci95_upper
accuracy_bayesian,30,72.026667,4.842195,70.32975,73.72725
accuracy_proposed,30,90.743333,1.578887,90.19,91.320167
accuracy_static,30,86.0,0.0,86.0,86.0
blockchain_commit_latency_ms,30,1501.25619,0.0,1501.25619,1501.25619
blockchain_commit_success_rate,30,1.0,0.0,1.0,1.0
blockchain_failed_commits,30,0.0,0.0,0.0,0.0
communication_distance_bayesian,30,528.985258,18.280374,522.672549,535.555941
communication_distance_proposed,30,529.092907,17.996325,522.874271,535.367073
communication_distance_static,30,528.764432,18.298621,522.53028,535.222802
compute_cost_bayesian,30,1.1,0.0,1.1,1.1
compute_cost_proposed,30,1.12,0.0,1.12,1.12
compute_cost_static,30,0.95,0.0,0.95,0.95
energy_bayesian,30,71.711317,0.108325,71.672881,71.749804
energy_proposed,30,71.381483,0.125987,71.335863,71.426062
energy_static,30,73.078667,0.109205,73.040995,73.115752
f1_bayesian,30,32.450433,9.800263,29.031393,36.27561
f1_proposed,30,46.029067,11.599373,41.759803,50.266045
f1_static,30,0.0,0.0,0.0,0.0
fn_bayesian,30,3.738333,0.924073,3.3915,4.053333
fn_proposed,30,4.623333,0.787481,4.334917,4.896667
fn_static,30,7.0,0.0,7.0,7.0
fp_bayesian,30,10.248333,2.111115,9.489958,11.018417
fp_proposed,30,0.005,0.027386,0.0,0.015
fp_static,30,0.0,0.0,0.0,0.0
packet_count_bayesian,30,1.247346,0.008376,1.244455,1.250222
packet_count_proposed,30,1.258993,0.009151,1.255901,1.262221
packet_count_static,30,1.234428,0.008766,1.23144,1.237392
pdr_bayesian,30,82.730017,1.744519,82.086897,83.366004
pdr_proposed,30,90.45845,1.237869,90.022363,90.89721
pdr_static,30,91.590767,0.881354,91.282994,91.900543
precision_bayesian,30,26.747783,8.877414,23.759351,30.201287
precision_proposed,30,83.208333,10.052038,79.333333,86.5
precision_static,30,0.0,0.0,0.0,0.0
recall_bayesian,30,46.5953,13.20048,42.095481,51.549689
recall_proposed,30,33.953033,11.249288,30.048467,38.073077
recall_static,30,0.0,0.0,0.0,0.0
routing_distance_bayesian,30,522.742911,26.038721,513.669472,532.312608
routing_distance_proposed,30,449.297525,92.586135,413.806198,481.5175
routing_distance_static,30,0.0,0.0,0.0,0.0
routing_load_bayesian,30,0.48245,0.010908,0.478358,0.486367
routing_load_proposed,30,0.538092,0.003932,0.53665,0.539459
routing_load_static,30,0.55,0.0,0.55,0.55
routing_noise_bayesian,30,0.001229,0.006021,-0.000823,0.003232
routing_noise_proposed,30,-0.001318,0.016624,-0.00697,0.004483
routing_noise_static,30,0.0,0.0,0.0,0.0
tn_bayesian,30,32.751667,2.111115,31.981583,33.510042
tn_proposed,30,42.995,0.027386,42.985,43.0
tn_static,30,43.0,0.0,43.0,43.0
tp_bayesian,30,3.261667,0.924073,2.946667,3.6085
tp_proposed,30,2.376667,0.787481,2.103333,2.665083
tp_static,30,0.0,0.0,0.0,0.0
trust_max_proposed,30,0.976818,0.001725,0.976214,0.977424
trust_mean_proposed,30,0.913752,0.008345,0.910745,0.916715
trust_min_proposed,30,0.423852,0.09647,0.390273,0.458715
trust_std_proposed,30,0.107742,0.020242,0.100196,0.114772
