metric_name,n,mean,std,ci95_lower,ci95_upper
accuracy_bayesian,6,48.333333,27.08259,28.666667,67.333333
accuracy_proposed,6,88.333333,3.204164,86.333333,90.675
accuracy_static,6,86.0,0.0,86.0,86.0
energy_bayesian,6,95.048333,2.222714,93.395,96.706667
energy_proposed,6,95.05,2.224896,93.391667,96.708333
energy_static,6,95.296667,2.095544,93.735,96.861667
f1_bayesian,6,32.735,6.839052,27.916667,37.62125
f1_proposed,6,23.695,30.069414,4.166667,47.403708
f1_static,6,0.0,0.0,0.0,0.0
fn_bayesian,6,1.333333,1.21106,0.5,2.166667
fn_proposed,6,5.833333,1.602082,4.6625,6.833333
fn_static,6,7.0,0.0,7.0,7.0
fp_bayesian,6,24.5,14.652645,14.166667,35.333333
fp_proposed,6,0.0,0.0,0.0,0.0
fp_static,6,0.0,0.0,0.0,0.0
pdr_bayesian,6,92.088333,3.098305,89.568333,94.168333
pdr_proposed,6,91.236667,2.965412,89.0,93.173333
pdr_static,6,90.13,4.095964,87.177417,92.98
precision_bayesian,6,21.37,6.18427,16.968333,25.786667
precision_proposed,6,50.0,54.772256,16.666667,83.333333
precision_static,6,0.0,0.0,0.0,0.0
recall_bayesian,6,80.951667,17.301095,69.046625,92.856667
recall_proposed,6,16.666667,22.885637,2.381667,33.392833
recall_static,6,0.0,0.0,0.0,0.0
tn_bayesian,6,18.5,14.652645,7.666667,28.833333
tn_proposed,6,43.0,0.0,43.0,43.0
tn_static,6,43.0,0.0,43.0,43.0
tp_bayesian,6,5.666667,1.21106,4.833333,6.5
tp_proposed,6,1.166667,1.602082,0.166667,2.3375
tp_static,6,0.0,0.0,0.0,0.0
trust_max_proposed,6,0.95145,0.020162,0.937328,0.966333
trust_mean_proposed,6,0.895217,0.039927,0.865533,0.925668
trust_min_proposed,6,0.6776,0.119214,0.5892,0.769433
trust_std_proposed,6,0.061967,0.023258,0.04448,0.078967
