model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
lstm,42,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7791005291005291,0.6797884481628614,156865,6.079650402069092
lstm,43,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.8253968253968254,0.7203096414717649,156865,6.23645806312561
lstm,44,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7896825396825398,0.6664381914381915,156865,6.180577993392944
lstm,45,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8478835978835979,0.7163844238639321,156865,5.395386695861816
lstm,46,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.7843915343915344,0.6671506734006735,156865,6.078777313232422
lstm,47,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.876984126984127,0.748632154882155,156865,6.085118293762207
lstm,48,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8518518518518519,0.7522666128598333,156865,7.829989910125732
lstm,49,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7936507936507936,0.6728901456492921,156865,6.65232515335083
lstm,50,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.7526455026455026,0.6461743805256372,156865,6.054495573043823
lstm,51,0.92,0.75,1.0,0.5,0.6666666666666666,0.8915343915343915,0.7492102396514162,156865,7.285558223724365
lstm,52,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8042328042328043,0.6976168188452673,156865,6.733038902282715
lstm,53,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.7738095238095237,0.6955678697630815,156865,6.173696279525757
lstm,54,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8068783068783069,0.6662891639976645,156865,6.0159900188446045
lstm,55,0.9066666666666666,0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471,0.7976190476190476,0.6735221066616417,156865,5.967846393585205
lstm,56,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8478835978835979,0.7427257980486882,156865,6.181576251983643
lstm,57,0.92,0.75,1.0,0.5,0.6666666666666666,0.8148148148148149,0.7044398112328257,156865,6.274677276611328
lstm,58,0.9066666666666666,0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471,0.8082010582010583,0.6832428593259428,156865,6.934570074081421
lstm,59,0.8933333333333333,0.7341269841269842,0.75,0.5,0.6,0.8505291005291005,0.7005088768871913,156865,6.761519908905029
lstm,60,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.6838624338624338,0.6132095845781961,156865,6.797540903091431
lstm,61,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.8968253968253969,0.72703081232493,156865,6.066153287887573
