model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
hybrid_temporal,42,0.9333333333333333,0.8928571428571428,0.7692307692307693,0.8333333333333334,0.8,0.966931216931217,0.9007575757575759,61345,2.892770290374756
hybrid_temporal,43,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9616402116402116,0.8904761904761905,61345,1.9397892951965332
hybrid_temporal,44,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9708994708994709,0.8994693902588641,61345,1.9110972881317139
hybrid_temporal,45,0.9333333333333333,0.8928571428571428,0.7692307692307693,0.8333333333333334,0.8,0.962962962962963,0.8882931882931885,61345,1.9313263893127441
hybrid_temporal,46,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.962962962962963,0.8956501831501833,61345,1.9238018989562988
hybrid_temporal,47,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9616402116402116,0.8943163519250477,61345,1.9994981288909912
hybrid_temporal,48,0.92,0.8849206349206349,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.9523809523809523,0.871851851851852,61345,1.9427316188812256
hybrid_temporal,49,0.9333333333333333,0.8591269841269842,0.8181818181818182,0.75,0.7826086956521738,0.9537037037037037,0.8646917896917898,61345,1.9567079544067383
hybrid_temporal,50,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.9589947089947091,0.8747044159544161,61345,2.2105765342712402
hybrid_temporal,51,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.966931216931217,0.8934824434824437,61345,1.8651130199432373
hybrid_temporal,52,0.92,0.8174603174603174,0.8,0.6666666666666666,0.7272727272727272,0.9497354497354497,0.8472222222222222,61345,2.0757179260253906
hybrid_temporal,53,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9537037037037037,0.8767399267399268,61345,1.8290514945983887
hybrid_temporal,54,0.96,0.875,1.0,0.75,0.8571428571428571,0.9642857142857144,0.8931746031746033,61345,1.8952515125274658
hybrid_temporal,55,0.92,0.8849206349206349,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.9550264550264549,0.8802781201448805,61345,1.9174883365631104
hybrid_temporal,56,0.9466666666666667,0.8670634920634921,0.9,0.75,0.8181818181818182,0.9629629629629629,0.8888528138528139,61345,1.9153056144714355
hybrid_temporal,57,0.92,0.8511904761904762,0.75,0.75,0.75,0.9603174603174603,0.8703240740740742,61345,1.9323451519012451
hybrid_temporal,58,0.9466666666666667,0.8670634920634921,0.9,0.75,0.8181818181818182,0.976190476190476,0.9127543551456596,61345,1.9316692352294922
hybrid_temporal,59,0.9466666666666667,0.8670634920634921,0.9,0.75,0.8181818181818182,0.9603174603174602,0.8880032206119164,61345,1.891361951828003
hybrid_temporal,60,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.9484126984126984,0.8540099715099717,61345,1.9928500652313232
hybrid_temporal,61,0.9466666666666667,0.8670634920634921,0.9,0.75,0.8181818181818182,0.9616402116402116,0.8884810751190063,61345,1.9480445384979248
lstm,42,0.92,0.75,1.0,0.5,0.6666666666666666,0.8346560846560845,0.7009352976458241,70785,11.170123100280762
lstm,43,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8082010582010583,0.7035453134911791,70785,9.031406164169312
lstm,44,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7896825396825398,0.6812620250120252,70785,9.387311935424805
lstm,45,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8359788359788359,0.7167807886557888,70785,6.9392993450164795
lstm,46,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8148148148148148,0.7129673831053274,70785,8.111253023147583
lstm,47,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9563492063492063,0.8620268620268621,70785,12.123092651367188
lstm,48,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.8227513227513228,0.6854840761090762,70785,9.234623432159424
lstm,49,0.8933333333333333,0.7341269841269842,0.75,0.5,0.6,0.8624338624338626,0.711106835030795,70785,10.225253820419312
lstm,50,0.92,0.75,1.0,0.5,0.6666666666666666,0.8492063492063493,0.756139258028793,70785,10.854210376739502
lstm,51,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8015873015873016,0.7315399971260016,70785,11.004130125045776
lstm,52,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.8002645502645502,0.6995558223289317,70785,10.950384140014648
lstm,53,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.8201058201058201,0.7539585278555868,70785,9.265284776687622
lstm,54,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9126984126984127,0.8180324074074075,70785,12.863575220108032
lstm,55,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.7447089947089948,0.6563241878056637,70785,10.074473142623901
lstm,56,0.8933333333333333,0.7003968253968254,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8201058201058201,0.6719349925762655,70785,8.982924938201904
lstm,57,0.92,0.75,1.0,0.5,0.6666666666666666,0.8201058201058201,0.7088516988100655,70785,10.013614892959595
lstm,58,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.7552910052910052,0.6878840912903308,70785,9.016708374023438
lstm,59,0.8933333333333333,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8478835978835979,0.7270429168844389,70785,9.037425518035889
lstm,60,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.7341269841269842,0.6621364378489876,70785,8.458200931549072
lstm,61,0.8933333333333333,0.7341269841269842,0.75,0.5,0.6,0.8637566137566137,0.7263531845007527,70785,10.162100315093994
random_forest,42,0.92,0.75,1.0,0.5,0.6666666666666666,0.9212962962962963,0.8000705678337257,0,0.42639756202697754
random_forest,43,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.9087301587301587,0.8287348272642391,0,0.5579230785369873
random_forest,44,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.8921957671957672,0.8198702713408598,0,0.3966097831726074
random_forest,45,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9067460317460317,0.8109988452575699,0,0.3909718990325928
random_forest,46,0.92,0.8174603174603174,0.8,0.6666666666666666,0.7272727272727272,0.8974867724867724,0.7929277106908686,0,0.4673452377319336
random_forest,47,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.8855820105820105,0.7995130715151303,0,0.41391897201538086
random_forest,48,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.906084656084656,0.8254114866614867,0,0.3945121765136719
random_forest,49,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9041005291005291,0.8073622427101202,0,0.39661669731140137
random_forest,50,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.9193121693121693,0.8250291375291376,0,0.40088367462158203
random_forest,51,0.9066666666666666,0.7420634920634921,0.8571428571428571,0.5,0.631578947368421,0.8670634920634921,0.7437162604505404,0,0.4169619083404541
random_forest,52,0.9066666666666666,0.8095238095238095,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.9107142857142857,0.8027089609428678,0,0.4244651794433594
random_forest,53,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9021164021164021,0.827991452991453,0,0.4900538921356201
random_forest,54,0.92,0.75,1.0,0.5,0.6666666666666666,0.912037037037037,0.8119358854652974,0,0.4896831512451172
random_forest,55,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.9054232804232805,0.8107683982683983,0,0.40349888801574707
random_forest,56,0.92,0.75,1.0,0.5,0.6666666666666666,0.8994708994708994,0.8482142857142857,0,0.39772844314575195
random_forest,57,0.92,0.8174603174603174,0.8,0.6666666666666666,0.7272727272727272,0.8935185185185185,0.8207107824578502,0,0.41069793701171875
random_forest,58,0.92,0.7837301587301587,0.875,0.5833333333333334,0.7000000000000001,0.8915343915343916,0.8168928523030691,0,0.4000356197357178
random_forest,59,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9007936507936507,0.8174127022917347,0,0.38597655296325684
random_forest,60,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.7781861279200676,0,0.38438940048217773
random_forest,61,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8928571428571428,0.786796291804781,0,0.4224860668182373
