Model,Accuracy,Balanced Accuracy,F1,ROC-AUC,Params,Runtime,Mean ± Std (multi-seed)
hybrid_temporal,0.9287,0.8277,0.7524,0.9674,408000,3.2598,0.7524 +- 0.0483
lstm,0.9167,0.8014,0.7253,0.9287,240689,1.5,0.7253 +- 0.0421
random_forest,0.9227,0.787,0.7081,0.9003,0,0.4933,0.7081 +- 0.0394
logistic_regression,0.9067,0.7758,0.6667,0.8624,0,0.0919,0.6667 +- 0.0000
fft,0.8667,0.8194,0.6429,0.9127,0,0.4738,0.6429 +- 0.0000
tranad,0.9053,0.7621,0.6371,0.8903,560000,5.2,0.6371 +- 0.0568
anomaly_transformer,0.8947,0.7329,0.6014,0.8734,720000,8.4,0.6014 +- 0.0683
moving_average,0.4667,0.5139,0.2593,0.4339,0,0.0417,0.2593 +- 0.0000
rule,0.6267,0.5079,0.2222,0.4788,0,0.0463,0.2222 +- 0.0000
majority,0.84,0.5,0.0,0.5,0,0.0206,0.0000 +- 0.0000
