model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
majority,42,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.021343231201171875
majority,43,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.022548913955688477
majority,44,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.01750326156616211
majority,45,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.01963973045349121
majority,46,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.022982120513916016
majority,47,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.0267031192779541
majority,48,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.017673015594482422
majority,49,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02000880241394043
majority,50,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.022404193878173828
majority,51,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.024988174438476562
majority,52,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.022669315338134766
majority,53,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.018962621688842773
majority,54,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.021695852279663086
majority,55,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.020258426666259766
majority,56,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.017292261123657227
majority,57,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.020974397659301758
majority,58,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.020378828048706055
majority,59,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.018362760543823242
majority,60,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.016906261444091797
majority,61,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.01933002471923828
