model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
gru,42,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9510582010582012,0.862655971479501,54145,7.289839506149292
gru,43,0.9066666666666666,0.8095238095238095,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.9074074074074074,0.8265700216131252,54145,6.8946332931518555
gru,44,0.96,0.875,1.0,0.75,0.8571428571428571,0.9656084656084656,0.9185049019607844,54145,6.593297243118286
gru,45,0.8933333333333333,0.7678571428571428,0.7,0.5833333333333334,0.6363636363636365,0.8214285714285714,0.7022783169017912,54145,4.846616506576538
gru,46,0.9466666666666667,0.9007936507936508,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9312169312169313,0.8861111111111112,54145,4.84001350402832
lstm,42,0.92,0.75,1.0,0.5,0.6666666666666666,0.8227513227513228,0.6956702700237184,70785,7.194594144821167
lstm,43,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.8756613756613757,0.8037207602339181,70785,7.182879686355591
lstm,44,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9431216931216932,0.8847064393939396,70785,7.27597451210022
lstm,45,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8320105820105821,0.7208543771043772,70785,6.158706188201904
lstm,46,0.9333333333333333,0.8928571428571428,0.7692307692307693,0.8333333333333334,0.8,0.9113756613756614,0.8766869095816465,70785,4.397269248962402
temporal_cnn,42,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9682539682539683,0.8770817417876242,68225,1.809941291809082
temporal_cnn,43,0.9866666666666667,0.9920634920634921,0.9230769230769231,1.0,0.9600000000000001,1.0,1.0,68225,1.7968316078186035
temporal_cnn,44,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9986772486772487,0.9935897435897437,68225,1.8092725276947021
temporal_cnn,45,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9537037037037037,0.8786174921255568,68225,1.992629051208496
temporal_cnn,46,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9933862433862434,0.9722222222222223,68225,1.5378353595733643
fft,42,0.8666666666666667,0.8194444444444444,0.5625,0.75,0.6428571428571429,0.9126984126984127,0.7802723300460915,0,0.48526978492736816
fft,43,0.8933333333333333,0.8353174603174602,0.6428571428571429,0.75,0.6923076923076924,0.9166666666666667,0.815436507936508,0,0.4243912696838379
fft,44,0.92,0.8511904761904762,0.75,0.75,0.75,0.9378306878306879,0.8715277777777779,0,0.4073643684387207
fft,45,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8637566137566138,0.7614605985295642,0,0.4253089427947998
fft,46,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9788359788359788,0.9361111111111112,0,0.4115447998046875
logistic_regression,42,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8624338624338624,0.7567405375595032,0,0.08090925216674805
logistic_regression,43,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8928571428571428,0.7778441365397889,0,0.08107876777648926
