model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
transformer_light,42,0.9333333333333333,0.8591269841269842,0.8181818181818182,0.75,0.7826086956521738,0.9457671957671958,0.8771436896436898,73281,9.509034156799316
transformer_light,43,0.9333333333333333,0.8253968253968254,0.8888888888888888,0.6666666666666666,0.761904761904762,0.9735449735449735,0.890542328042328,73281,7.6002197265625
transformer_light,44,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9907407407407407,0.9613095238095238,73281,7.086931943893433
transformer_light,45,0.9333333333333333,0.8591269841269842,0.8181818181818182,0.75,0.7826086956521738,0.9166666666666666,0.7887239328771588,73281,8.49568247795105
transformer_light,46,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9907407407407407,0.9652777777777779,73281,6.0947182178497314
random_forest,42,0.92,0.75,1.0,0.5,0.6666666666666666,0.9212962962962963,0.8000705678337257,0,0.4724752902984619
random_forest,43,0.96,0.875,1.0,0.75,0.8571428571428571,0.9583333333333334,0.8771929824561405,0,0.4365057945251465
random_forest,44,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9735449735449736,0.9242424242424243,0,0.4546220302581787
random_forest,45,0.9466666666666667,0.8333333333333333,1.0,0.6666666666666666,0.8,0.91005291005291,0.8331584081109699,0,0.49669432640075684
random_forest,46,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9841269841269841,0.9464285714285715,0,0.4714787006378174
fft,42,0.8666666666666667,0.8194444444444444,0.5625,0.75,0.6428571428571429,0.9126984126984127,0.7802723300460915,0,0.7058539390563965
fft,43,0.8933333333333333,0.8353174603174602,0.6428571428571429,0.75,0.6923076923076924,0.9166666666666667,0.815436507936508,0,0.4421985149383545
fft,44,0.92,0.8511904761904762,0.75,0.75,0.75,0.9378306878306879,0.8715277777777779,0,0.4815993309020996
fft,45,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8637566137566138,0.7614605985295642,0,0.5153610706329346
fft,46,0.96,0.9087301587301587,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9788359788359788,0.9361111111111112,0,0.4328470230102539
logistic_regression,42,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8624338624338624,0.7567405375595032,0,0.09459543228149414
logistic_regression,43,0.9066666666666666,0.7757936507936508,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8928571428571428,0.7778441365397889,0,0.0907754898071289
logistic_regression,44,0.92,0.8511904761904762,0.75,0.75,0.75,0.9126984126984127,0.846851851851852,0,0.09839320182800293
logistic_regression,45,0.8933333333333333,0.7341269841269842,0.75,0.5,0.6,0.8902116402116402,0.7232758620689655,0,0.07761788368225098
logistic_regression,46,0.9466666666666667,0.8670634920634921,0.9,0.75,0.8181818181818182,0.9695767195767196,0.9028472222222224,0,0.0930020809173584
moving_average,42,0.4666666666666667,0.5138888888888888,0.16666666666666666,0.5833333333333334,0.25925925925925924,0.4338624338624339,0.15536940980369196,0,0.040534019470214844
moving_average,43,0.18666666666666668,0.4821428571428571,0.15492957746478872,0.9166666666666666,0.26506024096385544,0.33333333333333337,0.13076782423149375,0,0.048895835876464844
moving_average,44,0.5466666666666666,0.49404761904761907,0.15625,0.4166666666666667,0.22727272727272727,0.47619047619047616,0.16463259988132797,0,0.0428316593170166
moving_average,45,0.16,0.5,0.16,1.0,0.2758620689655173,0.3108465608465609,0.12041348549468704,0,0.06104922294616699
moving_average,46,0.16,0.5,0.16,1.0,0.2758620689655173,0.37433862433862436,0.13377104644590926,0,0.04126381874084473
majority,42,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02294921875
majority,43,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02344989776611328
majority,44,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.025096893310546875
majority,45,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02225041389465332
majority,46,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.024364948272705078
rule,42,0.6266666666666667,0.5079365079365079,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.47883597883597884,0.20376924144019132,0,0.0529332160949707
rule,43,0.72,0.6646825396825398,0.30434782608695654,0.5833333333333334,0.4,0.6984126984126985,0.5757243135371611,0,0.06079816818237305
rule,44,0.7333333333333333,0.7063492063492063,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7314814814814815,0.33911117795805196,0,0.05541253089904785
rule,45,0.7333333333333333,0.5714285714285714,0.25,0.3333333333333333,0.28571428571428575,0.5727513227513228,0.3068785324402289,0,0.048536062240600586
rule,46,0.72,0.6646825396825398,0.30434782608695654,0.5833333333333334,0.4,0.6640211640211641,0.5532781526640054,0,0.06594491004943848
