model,seed,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,params,runtime_seconds
gru,42,0.9333333333333333,0.7916666666666667,1.0,0.5833333333333334,0.7368421052631579,0.9497354497354498,0.8442577030812326,54145,5.797553539276123
gru,43,0.92,0.8174603174603174,0.8,0.6666666666666666,0.7272727272727272,0.9246031746031746,0.8259943181818183,54145,5.585892200469971
gru,44,0.92,0.8849206349206349,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.9007936507936508,0.875919117647059,54145,5.8684282302856445
gru,45,0.8933333333333333,0.7678571428571428,0.7,0.5833333333333334,0.6363636363636365,0.7857142857142857,0.6791178999742086,54145,6.352197885513306
gru,46,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9748677248677248,0.9314814814814816,54145,5.96545672416687
lstm,42,0.8933333333333333,0.7678571428571428,0.7,0.5833333333333334,0.6363636363636365,0.8835978835978836,0.7116025816456851,70785,7.231917142868042
lstm,43,0.92,0.8174603174603174,0.8,0.6666666666666666,0.7272727272727272,0.9537037037037037,0.7230887440446264,70785,6.074218988418579
lstm,44,0.9333333333333333,0.8928571428571428,0.7692307692307693,0.8333333333333334,0.8,0.9140211640211641,0.8804470854555745,70785,5.977091550827026
lstm,45,0.8666666666666667,0.7857142857142857,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.8492063492063491,0.6906952446336009,70785,6.126675128936768
lstm,46,0.9733333333333334,0.9166666666666667,1.0,0.8333333333333334,0.9090909090909091,0.9735449735449735,0.9232456140350879,70785,6.2204248905181885
majority,42,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.023845672607421875
majority,43,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.0289154052734375
majority,44,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.02284836769104004
majority,45,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.023514986038208008
majority,46,0.84,0.5,0.0,0.0,0.0,0.5,0.16,0,0.03364849090576172
