interval,accuracy_proposed_mean,accuracy_proposed_std,accuracy_bayesian_mean,accuracy_bayesian_std,accuracy_static_mean,accuracy_static_std,precision_proposed_mean,precision_proposed_std,precision_bayesian_mean,precision_bayesian_std,precision_static_mean,precision_static_std,recall_proposed_mean,recall_proposed_std,recall_bayesian_mean,recall_bayesian_std,recall_static_mean,recall_static_std,f1_proposed_mean,f1_proposed_std,f1_bayesian_mean,f1_bayesian_std,f1_static_mean,f1_static_std,tp_proposed_mean,tp_proposed_std,tp_bayesian_mean,tp_bayesian_std,tp_static_mean,tp_static_std,tn_proposed_mean,tn_proposed_std,tn_bayesian_mean,tn_bayesian_std,tn_static_mean,tn_static_std,fp_proposed_mean,fp_proposed_std,fp_bayesian_mean,fp_bayesian_std,fp_static_mean,fp_static_std,fn_proposed_mean,fn_proposed_std,fn_bayesian_mean,fn_bayesian_std,fn_static_mean,fn_static_std,pdr_proposed_mean,pdr_proposed_std,pdr_bayesian_mean,pdr_bayesian_std,pdr_static_mean,pdr_static_std,energy_proposed_mean,energy_proposed_std,energy_bayesian_mean,energy_bayesian_std,energy_static_mean,energy_static_std,trust_mean_proposed_mean,trust_mean_proposed_std,trust_std_proposed_mean,trust_std_proposed_std,trust_min_proposed_mean,trust_min_proposed_std,trust_max_proposed_mean,trust_max_proposed_std,blockchain_commit_latency_ms_mean,blockchain_commit_latency_ms_std,blockchain_failed_commits_mean,blockchain_failed_commits_std,blockchain_commit_success_rate_mean,blockchain_commit_success_rate_std,packet_count_proposed_mean,packet_count_proposed_std,packet_count_bayesian_mean,packet_count_bayesian_std,packet_count_static_mean,packet_count_static_std,compute_cost_proposed_mean,compute_cost_proposed_std,compute_cost_bayesian_mean,compute_cost_bayesian_std,compute_cost_static_mean,compute_cost_static_std,communication_distance_proposed_mean,communication_distance_proposed_std,communication_distance_bayesian_mean,communication_distance_bayesian_std,communication_distance_static_mean,communication_distance_static_std,routing_load_proposed_mean,routing_load_proposed_std,routing_load_bayesian_mean,routing_load_bayesian_std,routing_load_static_mean,routing_load_static_std,routing_distance_proposed_mean,routing_distance_proposed_std,routing_distance_bayesian_mean,routing_distance_bayesian_std,routing_distance_static_mean,routing_distance_static_std,routing_noise_proposed_mean,routing_noise_proposed_std,routing_noise_bayesian_mean,routing_noise_bayesian_std,routing_noise_static_mean,routing_noise_static_std
1,86.0,0.0,70.66666666666667,6.559132733999383,86.0,0.0,0.0,0.0,18.335666666666665,8.161024316155961,0.0,0.0,0.0,0.0,29.04800000000001,12.497786043935943,0.0,0.0,0.0,0.0,22.076666666666668,9.128613378943278,0.0,0.0,0.0,0.0,2.033333333333333,0.8749603165604459,0.0,0.0,43.0,0.0,33.3,3.034798181098704,43.0,0.0,0.0,0.0,9.7,3.034798181098704,0.0,0.0,7.0,0.0,4.966666666666667,0.8749603165604459,7.0,0.0,92.79299999999999,3.809820774437209,84.13400000000001,4.268947255081361,92.06233333333331,4.100959792807315,97.27599999999998,0.030506829836394352,97.31566666666664,0.028481963103377046,97.43933333333334,0.021746008573733135,0.9830499999999999,0.0030189126077667986,0.027276666666666668,0.007670840168383702,0.8429933333333335,0.03618226023282067,0.9970999999999998,0.00039242833740697183,1495.0684000000008,6.821210263296962e-13,0.0,0.0,1.0,0.0,1.2592922333333334,0.015366972587735757,1.2456803333333333,0.014192294821095333,1.2313164999999997,0.0161776599847856,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,526.5247587333334,24.567898632779663,527.3373997333333,35.19207743186038,527.9708730999998,30.93516853291276,0.5500000000000003,2.220446049250313e-16,0.49133333333333334,0.015162087220725547,0.5500000000000003,2.220446049250313e-16,0.0,0.0,517.9115827333334,69.68837382847195,0.0,0.0,0.0,0.0,-0.0018301,0.023848722064085528,0.0,0.0
2,86.0,0.0,58.666666666666664,7.904991390816874,86.0,0.0,0.0,0.0,17.961333333333336,5.642074519969485,0.0,0.0,0.0,0.0,52.85666666666668,15.274317296982177,0.0,0.0,0.0,0.0,26.651666666666667,7.956299425961515,0.0,0.0,0.0,0.0,3.7,1.0692676621563628,0.0,0.0,43.0,0.0,25.633333333333333,3.65589326369843,43.0,0.0,0.0,0.0,17.366666666666667,3.65589326369843,0.0,0.0,7.0,0.0,3.3,1.0692676621563628,7.0,0.0,90.9756666666667,4.525539881850807,78.442,5.88009433030911,91.656,3.5546772943076945,94.54966666666664,0.04262106938540505,94.61999999999998,0.04351245032554929,94.87566666666663,0.040470839982496905,0.969993333333333,0.004551771327980157,0.04473333333333333,0.013082643293904924,0.7526533333333333,0.07116051214605533,0.9938633333333334,0.0008696678804130965,1500.845399999999,9.094947017729282e-13,0.0,0.0,1.0,0.0,1.2596099333333333,0.015845948579859638,1.2512718666666667,0.018207079529189252,1.2352661,0.013738749526673335,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,530.7190637,30.075916263889233,530.1417006333332,27.91202209625751,530.0262493666667,29.165863335428313,0.5500000000000003,2.220446049250313e-16,0.4446666666666667,0.01829996964174774,0.5500000000000003,2.220446049250313e-16,0.0,0.0,528.9584784666666,53.594227322211474,0.0,0.0,0.0,0.0,-0.002700133333333334,0.018022529196782808,0.0,0.0
3,87.13333333333334,1.2310790208412925,48.6,8.296987405076615,86.0,0.0,50.0,50.0,17.11433333333333,4.728485792395794,0.0,0.0,8.096999999999998,8.794507433620144,68.57066666666668,18.95109371220798,0.0,0.0,13.796,14.565871892887152,27.28666666666667,7.35466896301632,0.0,0.0,0.5666666666666667,0.6155395104206461,4.8,1.3266499161421599,0.0,0.0,43.0,0.0,19.5,3.947573094109004,43.0,0.0,0.0,0.0,23.5,3.947573094109004,0.0,0.0,6.433333333333334,0.6155395104206463,2.2,1.3266499161421599,7.0,0.0,90.68133333333336,2.970407080220189,74.84799999999998,6.385779200692738,92.493,3.3184576236559042,91.82099999999998,0.05075102626220095,91.92533333333334,0.04631294515455513,92.31866666666666,0.05200854630624515,0.9590666666666666,0.006503964602883044,0.05866999999999999,0.016959543036296702,0.6691599999999998,0.09065727990624912,0.9910633333333333,0.0011300393306822966,1499.5472000000007,6.821210263296962e-13,0.0,0.0,1.0,0.0,1.2605261000000003,0.011845322582775028,1.2484945,0.013659024476513673,1.2328106000000003,0.01600624208571976,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,534.5888511333334,22.7448168707261,526.7645282666667,24.582335098900863,530.8390049,24.855154582665158,0.5471666666666668,0.003077697552103234,0.4085,0.02090255167836374,0.5500000000000003,2.220446049250313e-16,327.1284715666667,366.71104492524887,521.9877388666667,51.74221421331282,0.0,0.0,-0.000905199999999999,0.08960175087366688,-0.0025559333333333334,0.016738844727028076,0.0,0.0
4,88.26666666666667,1.913693345920976,72.06666666666666,6.334736686626279,86.0,0.0,70.0,45.8257569495584,21.443,11.083622196736947,0.0,0.0,16.192000000000004,13.669274889327523,35.23933333333334,17.195047723755298,0.0,0.0,25.535999999999998,19.947244020164792,26.110333333333333,12.512052451758485,0.0,0.0,1.1333333333333333,0.9568466729604881,2.466666666666667,1.203698005684519,0.0,0.0,43.0,0.0,33.56666666666667,2.9061238025169462,43.0,0.0,0.0,0.0,9.433333333333334,2.9061238025169462,0.0,0.0,5.866666666666666,0.9568466729604883,4.533333333333333,1.203698005684519,7.0,0.0,91.52966666666667,3.9613713815069427,83.23133333333334,5.4214000241839955,92.27133333333336,3.7309317275387874,89.09433333333331,0.06606478302057428,89.23233333333334,0.05364595873771679,89.75166666666668,0.06282692274990077,0.9501066666666667,0.00790134728314665,0.07024666666666667,0.021236646523299187,0.61257,0.11287341331479848,0.9883699999999997,0.0014489421428522675,1498.2284999999997,2.2737367544323206e-13,0.0,0.0,1.0,0.0,1.2584870333333336,0.01147508630173306,1.250275466666667,0.01484501336640991,1.2358919333333334,0.015974936930357148,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,525.7254170333333,29.196906341542846,519.9354483,28.634373505103095,528.1690986666665,30.428049499491898,0.5443333333333334,0.004784233364802445,0.4904999999999998,0.015617831689023507,0.5500000000000003,2.220446049250313e-16,323.6531319666667,261.3850545739363,512.7231808666668,80.18144214177453,0.0,0.0,-0.04393716666666667,0.0673792872694487,-0.004629866666666664,0.03215572062918544,0.0,0.0
5,88.66666666666667,2.0221001184137473,66.13333333333334,7.116803277377344,86.0,0.0,76.66666666666667,42.29525846816507,21.108999999999995,7.16806266248652,0.0,0.0,19.049333333333333,14.443619567899946,50.00033333333333,17.591800264769823,0.0,0.0,29.536000000000005,20.4353748191708,29.341666666666672,9.555130936948077,0.0,0.0,1.3333333333333333,1.0110500592068734,3.5,1.2315302134607444,0.0,0.0,43.0,0.0,29.566666666666666,3.4320385908216258,43.0,0.0,0.0,0.0,13.433333333333334,3.4320385908216258,0.0,0.0,5.666666666666667,1.0110500592068734,3.5,1.2315302134607444,7.0,0.0,91.391,3.4406989115585214,82.39466666666665,6.2843051768318485,89.96099999999998,5.027267879607506,86.375,0.08007288346666863,86.53533333333333,0.06173779681488035,87.18533333333332,0.07098043548910037,0.9412066666666666,0.00872089190138001,0.08190666666666664,0.02132939963732896,0.5466133333333334,0.12437472072553794,0.9858233333333332,0.0014761850230314041,1502.4426,0.0,0.0,0.0,1.0,0.0,1.2567496000000002,0.012849379677893647,1.2477635666666667,0.012493593680184866,1.2354754,0.013385898828244609,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,521.9720626666668,23.665633185727906,530.1537707666666,26.924833495703943,527.8391742,26.153056111736205,0.5433333333333333,0.005055250296034371,0.4653333333333334,0.0186607133363712,0.5500000000000003,2.220446049250313e-16,373.67997600000007,273.25789198424,502.66731769999984,69.03001284566832,0.0,0.0,0.010282999999999999,0.0704759220083947,-0.0019447333333333326,0.023253019247592106,0.0,0.0
6,89.26666666666667,1.8245242911205342,61.06666666666667,7.224649164876835,86.0,0.0,90.0,30.0,21.549,5.806281856747914,0.0,0.0,23.335000000000004,13.031890308009809,65.7136666666667,17.534370720261265,0.0,0.0,35.98000000000001,17.68928489227306,32.282333333333334,8.290580069505927,0.0,0.0,1.6333333333333333,0.9122621455602673,4.6,1.2274635093014648,0.0,0.0,43.0,0.0,25.933333333333334,3.3159546974522365,43.0,0.0,0.0,0.0,17.066666666666666,3.3159546974522365,0.0,0.0,5.366666666666666,0.9122621455602673,2.4,1.2274635093014645,7.0,0.0,90.523,3.491838245585458,76.20933333333332,7.492859682539252,91.892,3.681319872002432,83.64666666666663,0.09169999394159677,83.84166666666665,0.0706674528258148,84.61999999999998,0.07949842765740707,0.9341000000000002,0.009338700837554085,0.09039333333333333,0.02377208353416998,0.4991966666666666,0.13029718974542603,0.9838566666666667,0.0020292335717922954,1499.7678999999994,6.821210263296962e-13,0.0,0.0,1.0,0.0,1.2576929,0.012913710095217917,1.2476488666666663,0.010994024409448792,1.2342276666666667,0.01114103787904081,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,535.3103339,19.739428548209673,526.6409257666667,23.775543157630885,528.7903100666667,28.535155203360368,0.5418333333333333,0.004561310727801341,0.4416666666666666,0.017288403306519925,0.5500000000000003,2.220446049250313e-16,434.13023583333336,215.58403657661316,531.2185878000001,54.510281628989134,0.0,0.0,-0.003011233333333331,0.06748442985542831,0.0036529333333333324,0.0181396975221627,0.0,0.0
7,89.8,1.7397317800933185,74.8,6.74487459730226,86.0,0.0,96.66666666666667,17.950549357115015,24.567000000000004,16.163297343054726,0.0,0.0,27.144666666666673,12.426206912095994,36.191,21.10303427629939,0.0,0.0,41.14666666666667,15.92449964328201,28.63133333333333,16.86258555369121,0.0,0.0,1.9,0.8698658900466593,2.533333333333333,1.4772346537440226,0.0,0.0,43.0,0.0,34.86666666666667,2.7535835237417845,43.0,0.0,0.0,0.0,8.133333333333333,2.7535835237417845,0.0,0.0,5.1,0.8698658900466595,4.466666666666667,1.4772346537440226,7.0,0.0,90.78966666666669,4.342507327442165,84.85366666666667,5.221557547535239,91.24166666666669,3.633297018167137,80.91499999999998,0.09276313923105375,81.13166666666667,0.08054329408598904,82.04766666666664,0.08581698873507312,0.92756,0.009929672703568832,0.0990333333333333,0.024679321078362123,0.4586033333333334,0.12312931273890695,0.9821433333333333,0.0022913872556937086,1507.3894999999998,2.2737367544323206e-13,0.0,0.0,1.0,0.0,1.2625111666666666,0.012563005940945102,1.2504358000000002,0.0134364597926686,1.238312733333333,0.012971852121506078,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,528.9434794333334,29.753117186530922,530.5642831333334,22.672491770715705,532.5821279999999,27.16805831835536,0.5405,0.0043493294502333,0.4966666666666665,0.014278966660402601,0.5500000000000003,2.220446049250313e-16,528.9305924666667,240.2373311981211,498.77302466666663,85.55284491907912,0.0,0.0,-0.023993933333333335,0.05996389479118988,0.002923866666666666,0.02660046136784515,0.0,0.0
8,90.46666666666667,2.4594488994262282,70.26666666666667,7.442819059708193,86.0,0.0,93.33333333333333,24.944382578492952,23.560000000000002,10.814130878931818,0.0,0.0,31.905666666666672,17.567088296647864,48.095333333333336,21.34206686856318,0.0,0.0,45.69866666666668,20.40432074068845,31.36466666666667,13.916050621095373,0.0,0.0,2.2333333333333334,1.2297244497131143,3.3666666666666667,1.4940623220676645,0.0,0.0,43.0,0.0,31.766666666666666,2.951647374301717,43.0,0.0,0.0,0.0,11.233333333333333,2.951647374301717,0.0,0.0,4.766666666666667,1.2297244497131143,3.6333333333333333,1.4940623220676645,7.0,0.0,90.54766666666667,2.7669208919342494,83.01666666666668,6.032857439794918,93.66933333333333,3.651489133064604,78.188,0.10678326960093876,78.43900000000002,0.08960468737738922,79.47966666666666,0.09697021306680911,0.9222333333333336,0.010550176407161254,0.10406,0.025195483722286423,0.4307866666666667,0.12370710497874494,0.9797266666666667,0.003015397523084182,1500.3012999999994,6.821210263296962e-13,0.0,0.0,1.0,0.0,1.2599429999999998,0.01496012618485109,1.2477716666666667,0.013777478838871633,1.233098933333333,0.01650958138361547,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,532.1806181,28.064059514137178,527.3155991,29.557902471944242,532.2970832333333,23.724140768278506,0.5388333333333333,0.006148622248565577,0.477,0.014177446878757818,0.5500000000000003,2.220446049250313e-16,519.1829032333333,251.9971653718147,523.1671595333333,48.104607339026416,0.0,0.0,0.029349399999999994,0.07143333727963902,-0.0004331333333333333,0.02506165418952938,0.0,0.0
9,90.46666666666667,2.291045370325277,65.46666666666667,7.428473747831531,86.0,0.0,96.66666666666667,17.950549357115015,22.02833333333333,7.8585656381358096,0.0,0.0,31.90533333333333,16.364077880800032,55.713333333333345,18.57076938512661,0.0,0.0,46.14266666666668,18.249660623937334,31.396666666666658,10.713688233076207,0.0,0.0,2.2333333333333334,1.1455226851626388,3.9,1.3,0.0,0.0,43.0,0.0,28.833333333333332,3.142009265139462,43.0,0.0,0.0,0.0,14.166666666666666,3.1420092651394613,0.0,0.0,4.766666666666667,1.1455226851626388,3.1,1.3,7.0,0.0,90.88766666666669,3.232536345073666,79.907,5.20168764280722,90.64300000000004,4.266600637509914,75.46766666666667,0.11005099827908134,75.74199999999999,0.10143635114362866,76.909,0.1114256104612702,0.9172833333333331,0.010288086421790124,0.11006,0.024033360147927712,0.3993900000000001,0.11399209431652121,0.9783199999999999,0.002872443791152998,1501.3002,0.0,0.0,0.0,1.0,0.0,1.2588472666666666,0.013935997053035772,1.2469392333333333,0.012052599298307225,1.2355387666666668,0.012863447346864504,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,522.1746585000001,24.554573753272958,532.4751452666667,22.527158804693435,529.092217,25.808984324032544,0.5388333333333333,0.0057276134258132,0.4596666666666668,0.015271614918607072,0.5500000000000003,2.220446049250313e-16,454.6253942666668,190.9516725128923,525.9106910666668,68.50871855577603,0.0,0.0,-0.014137033333333335,0.058968784059298875,-0.009767833333333333,0.029649692296417215,0.0,0.0
10,91.13333333333334,2.617038190185403,76.0,5.440588203494177,86.0,0.0,96.66666666666667,17.950549357115015,25.433666666666667,13.314281926646373,0.0,0.0,36.66766666666668,18.69236950974619,36.667666666666676,17.94956799542046,0.0,0.0,50.97966666666668,19.932928950747698,29.57933333333334,14.335958968815289,0.0,0.0,2.566666666666667,1.3085190950927013,2.566666666666667,1.2565384549980507,0.0,0.0,43.0,0.0,35.43333333333333,2.347812220392044,43.0,0.0,0.0,0.0,7.566666666666666,2.347812220392045,0.0,0.0,4.433333333333334,1.308519095092701,4.433333333333334,1.256538454998051,7.0,0.0,90.59266666666667,5.758851119991056,82.51066666666667,4.812980319464808,91.99200000000002,3.4971563686324743,72.74300000000001,0.11463420083029396,73.04533333333332,0.10974920905814632,74.348,0.11903500885593785,0.9126033333333335,0.010169840488206083,0.11424333333333331,0.024784224597289475,0.3795766666666667,0.12005490045067808,0.9767933333333332,0.0028198029876019518,1496.5512999999994,6.821210263296962e-13,0.0,0.0,1.0,0.0,1.257880033333333,0.011915931781955737,1.2490325333333336,0.012199638237077167,1.2337103333333335,0.013029771459580126,1.1200000000000006,4.440892098500626e-16,1.1000000000000005,4.440892098500626e-16,0.9499999999999995,4.440892098500626e-16,533.054047,28.588990577361358,526.921069,22.698074743829405,526.8705963666667,23.603688057067195,0.5371666666666666,0.006542595475463512,0.4993333333333333,0.01302134998974975,0.5500000000000003,2.220446049250313e-16,540.0083200333333,218.83957850673505,559.3476142666665,77.4381834451764,0.0,0.0,0.008914199999999999,0.06520119443865018,0.0024004333333333327,0.028635774295664194,0.0,0.0
